116.650082,40.292468|116.666400,40.308785
116.633765,40.276150|116.650082,40.292468
116.650082,40.276150|116.666400,40.292468
116.666400,40.308785|116.699035,40.341421
116.699035,40.308785|116.731670,40.341421
116.666400,40.276150|116.699035,40.308785
116.699035,40.276150|116.731670,40.308785
116.731670,40.471961|116.796941,40.537231
116.796941,40.471961|116.862211,40.537231
116.731670,40.406691|116.796941,40.471961
116.796941,40.439326|116.829576,40.471961
116.829576,40.439326|116.862211,40.471961
116.796941,40.406691|116.829576,40.439326
116.829576,40.406691|116.862211,40.439326
116.862211,40.406691|116.992751,40.537231
116.731670,40.374056|116.764305,40.406691
116.764305,40.374056|116.796941,40.406691
116.731670,40.341421|116.764305,40.374056
116.764305,40.341421|116.796941,40.374056
116.796941,40.374056|116.829576,40.406691
116.829576,40.390373|116.845893,40.406691
116.845893,40.390373|116.862211,40.406691
116.829576,40.374056|116.845893,40.390373
116.845893,40.382215|116.854052,40.390373
116.854052,40.382215|116.862211,40.390373
116.845893,40.374056|116.854052,40.382215
116.854052,40.374056|116.862211,40.382215
116.796941,40.357738|116.813258,40.374056
116.813258,40.357738|116.829576,40.374056
116.796941,40.341421|116.813258,40.357738
116.813258,40.341421|116.829576,40.357738
116.829576,40.365897|116.837735,40.374056
116.837735,40.365897|116.845893,40.374056
116.829576,40.357738|116.837735,40.365897
116.837735,40.357738|116.845893,40.365897
116.845893,40.357738|116.862211,40.374056
116.829576,40.341421|116.845893,40.357738
116.845893,40.341421|116.862211,40.357738
